url,property_id,num_of_rooms,Locality_name,postal_code,price,property_type,sub_property_type,type_sale,living_area,kitchen_type,Furnished,Open_fire,Terrace,Garden,Number_of_faceds,Swimming_pool,State_of_building
https://www.immoweb.be/nl/zoekertje/huis/te-koop/florennes/5620/8723840,8723840,4,florennes,5620,,Huis ,,Non public,,Niet geïnstalleerd,0,0,,,,,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/erondegem/9420/8725134,8725134,2,erondegem,9420,,Huis ,,Non public,203 m²,,0,0,,,,,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725540,8725540,2,welkenraedt,4840,,Appartement ,,Non public,94 m²,Geïnstalleerd,0,0,17 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725541,8725541,2,welkenraedt,4840,,Appartement ,,Non public,105 m²,Geïnstalleerd,0,0,12 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725542,8725542,3,welkenraedt,4840,,Appartement ,,Non public,96 m²,Geïnstalleerd,0,0,4 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725543,8725543,2,welkenraedt,4840,,Appartement ,,Non public,87 m²,Geïnstalleerd,0,0,7 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725544,8725544,2,welkenraedt,4840,,Appartement ,,Non public,87 m²,Geïnstalleerd,0,0,7 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725546,8725546,3,welkenraedt,4840,,Appartement ,,Non public,109 m²,Geïnstalleerd,0,0,6 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725547,8725547,2,welkenraedt,4840,,Appartement ,,Non public,90 m²,Geïnstalleerd,0,0,7 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725548,8725548,2,welkenraedt,4840,,Appartement ,,Non public,82 m²,Geïnstalleerd,0,0,7 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725550,8725550,2,welkenraedt,4840,,Appartement ,,Non public,77 m²,Geïnstalleerd,0,0,5 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725551,8725551,3,welkenraedt,4840,,Appartement ,,Non public,96 m²,Geïnstalleerd,0,0,4 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725552,8725552,2,welkenraedt,4840,,Appartement ,,Non public,87 m²,Geïnstalleerd,0,0,7 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725553,8725553,2,welkenraedt,4840,,Appartement ,,Non public,87 m²,Geïnstalleerd,0,0,7 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725554,8725554,3,welkenraedt,4840,,Appartement ,,Non public,130 m²,Geïnstalleerd,0,0,9 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725555,8725555,3,welkenraedt,4840,,Appartement ,,Non public,109 m²,Geïnstalleerd,0,0,6 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725556,8725556,2,welkenraedt,4840,,Appartement ,,Non public,90 m²,Geïnstalleerd,0,0,7 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725557,8725557,2,welkenraedt,4840,,Appartement ,,Non public,82 m²,Geïnstalleerd,0,0,7 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725559,8725559,3,welkenraedt,4840,,Appartement ,,Non public,121 m²,Geïnstalleerd,0,0,20 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725560,8725560,3,welkenraedt,4840,,Appartement ,,Non public,92 m²,Geïnstalleerd,0,0,20 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/welkenraedt/4840/8725561,8725561,3,welkenraedt,4840,,Appartement ,,Non public,120 m²,Geïnstalleerd,0,0,20 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/machelen/1830/8726383,8726383,2,machelen,1830,,Appartement ,,Non public,112 m²,,0,0,,,2,,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/ixelles/1050/8727039,8727039,1,ixelles,1050,,Appartement ,,Non public,65 m²,Geïnstalleerd,0,0,,,2,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/sint-truiden/3800/8727283,8727283,2,sint-truiden,3800,189000€,Appartement ,,Non public,135 m²,Semi uitgerust,0,0,45 m²,,2,,Te renoveren
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/sint-truiden/3800/8727284,8727284,2,sint-truiden,3800,189000€,Appartement,Benedenverdieping ,Non public,135 m²,Semi uitgerust,0,0,45 m²,,2,,Te renoveren
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/sint-truiden/3800/8727285,8727285,2,sint-truiden,3800,189000€,Appartement,Studio ,Non public,135 m²,Semi uitgerust,0,0,45 m²,,2,,Te renoveren
https://www.immoweb.be/nl/zoekertje/huis/te-koop/haccourt/4684/8728042,8728042,3,haccourt,4684,,Huis ,,Non public,151 m²,,0,1,Ja,229 m²,4,,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/oupeye/4680/8728043,8728043,3,oupeye,4680,,Huis ,,Non public,172 m²,Geïnstalleerd,0,0,Ja,280 m²,4,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/charleroi/6060/8728118,8728118,2,charleroi,6060,,Huis ,,Non public,100 m²,Geïnstalleerd,0,0,8 m²,26 m²,2,,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/forest/1190/8728201,8728201,3,forest,1190,,Appartement ,,Non public,200 m²,Hyper uitgerust,0,0,10 m²,20 m²,2,0.0,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2018/8728511,8728511,2,antwerpen,2018,,Appartement ,,Non public,95 m²,,0,0,Ja,,2,0.0,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/koksijde/8670/8728931,8728931,2,koksijde,8670,,Appartement ,,Non public,95 m²,,0,0,,17 m²,2,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/koksijde/8670/8728933,8728933,2,koksijde,8670,,Appartement ,,Non public,95 m²,,0,0,,17 m²,2,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/koksijde/8670/8728935,8728935,2,koksijde,8670,,Appartement ,,Non public,92 m²,,0,0,,17 m²,2,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/ans/4430/8729503,8729503,4,ans,4430,,Huis ,,Non public,175 m²,Hyper uitgerust,0,0,57 m²,70 m²,2,0.0,Net gerenoveerd
https://www.immoweb.be/nl/zoekertje/huis/te-koop/mouland-moelingen/3790/8730748,8730748,4,mouland-moelingen,3790,,Herenhuis ,,Non public,,,0,0,Ja,1250 m²,4,,Op te frissen
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen-5/2050/8731134,8731134,2,antwerpen-5,2050,,Appartement ,,Non public,80 m²,Hyper uitgerust,0,0,,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/arlon/6700/8732213,8732213,7,arlon,6700,,Huis ,,Non public,,Semi uitgerust,0,0,Ja,,3,0.0,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/vilvoorde/1800/8732530,8732530,3,vilvoorde,1800,,Huis ,,Non public,125 m²,,0,0,,,,0.0,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/ixelles/1050/8733365,8733365,2,ixelles,1050,,Appartement ,,Non public,137 m²,,0,0,,105 m²,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/vottem/4041/8734245,8734245,4,vottem,4041,,Huis ,,Non public,200 m²,Geïnstalleerd,0,1,30 m²,227 m²,2,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/lantin/4450/8734247,8734247,4,lantin,4450,,Huis ,,Non public,135 m²,Geïnstalleerd,0,0,30 m²,280 m²,3,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/wortegem-petegem/9790/8735185,8735185,3,wortegem-petegem,9790,,Huis ,,Non public,165 m²,,0,0,14 m²,143 m²,,,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/londerzeel/1840/8735223,8735223,2,londerzeel,1840,,Huis ,,Non public,165 m²,,0,0,,,2,,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/knokke/8300/8735420,8735420,2,knokke,8300,,Appartement ,,Non public,87 m²,,0,0,,,2,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/modave/4577/8736449,8736449,4,modave,4577,,Huis ,,Non public,160 m²,Geïnstalleerd,0,0,60 m²,550 m²,4,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/oostende/8400/8736776,8736776,,oostende,8400,,Appartement ,,Non public,,,0,0,,,2,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/erpent/5101/8737388,8737388,1,erpent,5101,,Appartement,Studio ,Non public,30 m²,Semi uitgerust,0,0,,,,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/oostende/8400/8737642,8737642,5,oostende,8400,,Huis,Villa ,Non public,322 m²,Geïnstalleerd,0,0,,,4,0.0,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/vilvoorde/1800/8737680,8737680,1,vilvoorde,1800,,Appartement ,,Non public,41 m²,,0,0,,,2,,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/oudenaarde/9700/8737988,8737988,4,oudenaarde,9700,,Huis ,,Non public,280 m²,,0,0,,,,,Te renoveren
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/gent/9000/8737996,8737996,4,gent,9000,,Appartement ,,Non public,,,0,0,,,,,Net gerenoveerd
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/bredene/8450/8738087,8738087,1,bredene,8450,,Appartement ,,Non public,78 m²,,0,0,Ja,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/richelle/4600/8738453,8738453,4,richelle,4600,,Huis ,,Non public,160 m²,Geïnstalleerd,0,0,,200 m²,3,,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/beersel-dworp/1653/8738636,8738636,2,beersel-dworp,1653,,Appartement ,,Non public,184 m²,Geïnstalleerd,0,0,70 m²,,,0.0,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/eke/9810/8740023,8740023,3,eke,9810,,Huis ,,Non public,153 m²,Geïnstalleerd,0,0,,,3,,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/gent/9000/8740066,8740066,2,gent,9000,,Penthouse ,,Non public,157 m²,Geïnstalleerd,0,0,39 m²,,2,,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/knokke-heist/8300/8740255,8740255,4,knokke-heist,8300,,Huis ,,Non public,217 m²,Hyper uitgerust,0,0,Ja,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/waterloo/1410/8740795,8740795,5,waterloo,1410,,Huis,Villa ,Non public,290 m²,Hyper uitgerust,0,1,30 m²,,4,0.0,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/juprelle-villers-saint-simeon/4450/8740813,8740813,4,juprelle-villers-saint-simeon,4450,,Huis ,,Non public,170 m²,Geïnstalleerd,0,0,40 m²,1475 m²,3,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/neuville-en-condroz/4121/8740814,8740814,2,neuville-en-condroz,4121,,Huis,Bungalow ,Non public,90 m²,Geïnstalleerd,0,1,20 m²,750 m²,4,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/rochefort-ave-et-auffe/5580/8740930,8740930,2,rochefort-ave-et-auffe,5580,,Huis ,,Non public,75 m²,Geïnstalleerd,0,1,8 m²,,3,,Te renoveren
https://www.immoweb.be/nl/zoekertje/huis/te-koop/boortmeerbeek/3190/8741379,8741379,3,boortmeerbeek,3190,,Huis ,,Non public,200 m²,,0,0,,,4,,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/namur/5000/8741886,8741886,2,namur,5000,,Huis ,,Non public,105 m²,Geïnstalleerd,0,0,,,3,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/brakel/9660/8742272,8742272,4,brakel,9660,,Huis ,,Non public,142 m²,,0,0,,,,,Te renoveren
https://www.immoweb.be/nl/zoekertje/huis/te-koop/brakel/9660/8742274,8742274,3,brakel,9660,,Huis ,,Non public,194 m²,,0,0,,,,,Te renoveren
https://www.immoweb.be/nl/zoekertje/huis/te-koop/helkijn/8587/8742392,8742392,4,helkijn,8587,,Huis ,,Non public,143 m²,,0,0,,217 m²,,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/barchon/4671/8742731,8742731,3,barchon,4671,,Huis,Villa ,Non public,150 m²,Hyper uitgerust,0,0,25 m²,460 m²,4,,Uitstekende staat
