url,property_id,num_of_rooms,Locality_name,postal_code,price,property_type,sub_property_type,type_sale,living_area,kitchen_type,Furnished,Open_fire,Terrace,Garden,Number_of_faceds,Swimming_pool,State_of_building
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166393,7166393,2,antwerpen,2000,,Appartement ,,Non public,94 m²,,0,0,13 m²,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166395,7166395,2,antwerpen,2000,,Appartement ,,Non public,94 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166397,7166397,2,antwerpen,2000,,Appartement ,,Non public,102 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166398,7166398,2,antwerpen,2000,,Appartement ,,Non public,94 m²,,0,0,6 m²,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166401,7166401,2,antwerpen,2000,,Appartement ,,Non public,94 m²,,0,0,13 m²,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166404,7166404,2,antwerpen,2000,,Appartement ,,Non public,94 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166406,7166406,2,antwerpen,2000,,Appartement ,,Non public,102 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166409,7166409,2,antwerpen,2000,,Appartement ,,Non public,94 m²,,0,0,6 m²,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166410,7166410,2,antwerpen,2000,,Appartement ,,Non public,94 m²,,0,0,13 m²,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166411,7166411,2,antwerpen,2000,,Appartement ,,Non public,94 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166413,7166413,2,antwerpen,2000,,Appartement ,,Non public,102 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166414,7166414,2,antwerpen,2000,,Appartement ,,Non public,94 m²,,0,0,6 m²,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166415,7166415,2,antwerpen,2000,,Appartement ,,Non public,94 m²,,0,0,13 m²,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166416,7166416,2,antwerpen,2000,,Appartement ,,Non public,94 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166417,7166417,2,antwerpen,2000,,Appartement ,,Non public,102 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166418,7166418,2,antwerpen,2000,,Appartement ,,Non public,91 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166419,7166419,1,antwerpen,2000,,Appartement ,,Non public,61 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166420,7166420,2,antwerpen,2000,,Appartement ,,Non public,116 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166421,7166421,1,antwerpen,2000,,Appartement ,,Non public,64 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166422,7166422,2,antwerpen,2000,,Appartement ,,Non public,100 m²,,0,0,7 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166423,7166423,2,antwerpen,2000,,Appartement ,,Non public,91 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166424,7166424,1,antwerpen,2000,,Appartement ,,Non public,61 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166425,7166425,2,antwerpen,2000,,Appartement ,,Non public,116 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166426,7166426,1,antwerpen,2000,,Appartement ,,Non public,64 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166427,7166427,2,antwerpen,2000,,Appartement ,,Non public,100 m²,,0,0,7 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166428,7166428,2,antwerpen,2000,,Appartement ,,Non public,91 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166429,7166429,1,antwerpen,2000,,Appartement ,,Non public,61 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166430,7166430,2,antwerpen,2000,,Appartement ,,Non public,116 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166431,7166431,1,antwerpen,2000,,Appartement ,,Non public,64 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166432,7166432,2,antwerpen,2000,,Appartement ,,Non public,100 m²,,0,0,7 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166433,7166433,2,antwerpen,2000,,Appartement ,,Non public,91 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166434,7166434,1,antwerpen,2000,,Appartement ,,Non public,61 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166435,7166435,2,antwerpen,2000,,Appartement ,,Non public,116 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166436,7166436,1,antwerpen,2000,,Appartement ,,Non public,64 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166437,7166437,2,antwerpen,2000,,Appartement ,,Non public,100 m²,,0,0,7 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166438,7166438,2,antwerpen,2000,,Appartement ,,Non public,91 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166439,7166439,1,antwerpen,2000,,Appartement ,,Non public,61 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166440,7166440,2,antwerpen,2000,,Appartement ,,Non public,116 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166441,7166441,1,antwerpen,2000,,Appartement ,,Non public,64 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166442,7166442,2,antwerpen,2000,,Appartement ,,Non public,100 m²,,0,0,7 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166443,7166443,2,antwerpen,2000,,Appartement ,,Non public,91 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166444,7166444,1,antwerpen,2000,,Appartement ,,Non public,61 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166445,7166445,2,antwerpen,2000,,Appartement ,,Non public,116 m²,,0,0,13 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166446,7166446,1,antwerpen,2000,,Appartement ,,Non public,64 m²,,0,0,8 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7166447,7166447,2,antwerpen,2000,,Appartement ,,Non public,100 m²,,0,0,7 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/herne/1540/7167183,7167183,3,herne,1540,,Huis ,,Non public,,,0,0,,,,,Te renoveren
https://www.immoweb.be/nl/zoekertje/huis/te-koop/dendermonde/9200/7167245,7167245,4,dendermonde,9200,,Huis,Villa ,Non public,350 m²,Geïnstalleerd,0,0,,,4,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/brugge/8000/7169399,7169399,3,brugge,8000,,Huis ,,Non public,,,0,0,,20 m²,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/ham/3945/7170751,7170751,3,ham,3945,,Appartement ,,Non public,151 m²,Geïnstalleerd,0,0,,,2,0.0,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/seraing-boncelles/4100/7172140,7172140,3,seraing-boncelles,4100,,Huis,Villa ,Non public,200 m²,,0,0,Ja,300 m²,4,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/koningshooikt/2500/7173200,7173200,3,koningshooikt,2500,,Huis,Villa ,Non public,225 m²,Semi uitgerust,0,0,Ja,,4,,Op te frissen
https://www.immoweb.be/nl/zoekertje/huis/te-koop/sprimont-rouvreux/4140/7174256,7174256,4,sprimont-rouvreux,4140,,Huis,Villa ,Non public,169 m²,,0,0,Ja,741 m²,4,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/aywaille/4920/7176344,7176344,3,aywaille,4920,,Huis,Villa ,Non public,,,0,0,,630 m²,4,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/het-zoute/8300/7176550,7176550,7,het-zoute,8300,,Huis,Villa ,Non public,,,0,0,,,,,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/galmaarden/1570/7178258,7178258,3,galmaarden,1570,,Huis ,,Non public,,Semi uitgerust,0,0,23 m²,,4,,Net gerenoveerd
https://www.immoweb.be/nl/zoekertje/huis/te-koop/sint-maria-lierde/9570/7178554,7178554,3,sint-maria-lierde,9570,,Huis ,,Non public,170 m²,Geïnstalleerd,0,0,Ja,,2,,Te renoveren
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/renaix/9600/7179060,7179060,2,renaix,9600,,Appartement ,,Non public,81 m²,Semi uitgerust,0,0,,,2,,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/grace-hollogne-haut/4460/7180586,7180586,3,grace-hollogne-haut,4460,,Huis ,,Non public,,,0,0,Ja,130 m²,2,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/het-zoute/8300/7180945,7180945,4,het-zoute,8300,,Huis,Villa ,Non public,198 m²,,0,0,,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/blegny-barchon/4671/7181110,7181110,3,blegny-barchon,4671,,Huis ,,Non public,123 m²,,0,0,Ja,630 m²,4,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/koersel/3582/7181836,7181836,4,koersel,3582,,Huis ,,Non public,410 m²,,0,0,,2800 m²,4,0.0,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/deux-acren/7864/7181904,7181904,3,deux-acren,7864,,Huis ,,Non public,160 m²,Geïnstalleerd,0,0,15 m²,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/knokke/8300/7188140,7188140,2,knokke,8300,,Appartement ,,Non public,75 m²,,0,0,,,2,0.0,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/liege/4000/7188405,7188405,1,liege,4000,,Loft ,,Non public,,,0,0,Ja,,3,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/frameries/7080/7189044,7189044,3,frameries,7080,,Huis ,,Non public,,,0,0,,,2,,Te renoveren
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/koksijde/8670/7189190,7189190,2,koksijde,8670,,Appartement ,,Non public,70 m²,Geïnstalleerd,1,0,,,2,0.0,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/geraardsbergen/9500/7190339,7190339,3,geraardsbergen,9500,,Huis ,,Non public,,Geïnstalleerd,0,0,24 m²,,,,Net gerenoveerd
https://www.immoweb.be/nl/zoekertje/huis/te-koop/opdorp/9255/7192105,7192105,4,opdorp,9255,,Herenhuis ,,Non public,,,0,0,,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/knokke-het-zoute/8300/7192109,7192109,,knokke-het-zoute,8300,,Appartement,Studio ,Non public,35 m²,,0,0,,,2,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/aubin-neufchateau/4608/7192563,7192563,5,aubin-neufchateau,4608,,Boerderij ,,Non public,267 m²,,0,0,Ja,898 m²,4,,Op te frissen
https://www.immoweb.be/nl/zoekertje/huis/te-koop/hannut/4280/7193610,7193610,4,hannut,4280,,Huis ,,Non public,294 m²,Hyper uitgerust,0,0,80 m²,,4,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/braives/4260/7193616,7193616,4,braives,4260,,Huis ,,Non public,294 m²,Hyper uitgerust,0,0,80 m²,,4,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/brakel/9660/7194746,7194746,2,brakel,9660,,Huis ,,Non public,,,0,0,,,,,Te renoveren
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7196467,7196467,1,antwerpen,2000,,Appartement ,,Non public,45 m²,,0,0,,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7196468,7196468,1,antwerpen,2000,,Appartement ,,Non public,62 m²,,0,0,,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/antwerpen/2000/7196470,7196470,1,antwerpen,2000,,Appartement ,,Non public,46 m²,,0,0,,,,,
